Namespace(exp_name='pointnet_200', model='pointnet', dataset='modelnet40', batch_size=5, test_batch_size=2, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=200, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using GPU : 0 from 1 devices
Test 133, loss: 1.794717, test acc: 0.166667, test avg acc: 0.166667
Train 134, loss: 1.804243, train acc: 0.162103, train avg acc: 0.162103
Test 134, loss: 1.801763, test acc: 0.166667, test avg acc: 0.166667
Train 135, loss: 1.803320, train acc: 0.165972, train avg acc: 0.165972
Test 135, loss: 1.797222, test acc: 0.166667, test avg acc: 0.166667
Train 136, loss: 1.801227, train acc: 0.162302, train avg acc: 0.162302
Test 136, loss: 1.811543, test acc: 0.166667, test avg acc: 0.166667
Train 137, loss: 1.802761, train acc: 0.163988, train avg acc: 0.163988
Test 137, loss: 1.814840, test acc: 0.166667, test avg acc: 0.166667
Train 138, loss: 1.801973, train acc: 0.166667, train avg acc: 0.166667
Test 138, loss: 1.808627, test acc: 0.166667, test avg acc: 0.166667
Train 139, loss: 1.801443, train acc: 0.170933, train avg acc: 0.170933
Test 139, loss: 1.796826, test acc: 0.166667, test avg acc: 0.166667
Train 140, loss: 1.801136, train acc: 0.160317, train avg acc: 0.160317
Test 140, loss: 1.813551, test acc: 0.166667, test avg acc: 0.166667
Train 141, loss: 1.801556, train acc: 0.162202, train avg acc: 0.162202
Test 141, loss: 1.796408, test acc: 0.166667, test avg acc: 0.166667
Train 142, loss: 1.801491, train acc: 0.166766, train avg acc: 0.166766
Test 142, loss: 1.802348, test acc: 0.166667, test avg acc: 0.166667
Train 143, loss: 1.800465, train acc: 0.169345, train avg acc: 0.169345
Test 143, loss: 1.800246, test acc: 0.166667, test avg acc: 0.166667
Train 144, loss: 1.801456, train acc: 0.169345, train avg acc: 0.169345
Test 144, loss: 1.796903, test acc: 0.166667, test avg acc: 0.166667
Train 145, loss: 1.800545, train acc: 0.168552, train avg acc: 0.168552
Test 145, loss: 1.804548, test acc: 0.166667, test avg acc: 0.166667
Train 146, loss: 1.801310, train acc: 0.168750, train avg acc: 0.168750
Test 146, loss: 1.802413, test acc: 0.166667, test avg acc: 0.166667
Train 147, loss: 1.799660, train acc: 0.167956, train avg acc: 0.167956
Test 147, loss: 1.807502, test acc: 0.166667, test avg acc: 0.166667
Train 148, loss: 1.800112, train acc: 0.168948, train avg acc: 0.168948
Test 148, loss: 1.801422, test acc: 0.166667, test avg acc: 0.166667
Train 149, loss: 1.800913, train acc: 0.164782, train avg acc: 0.164782
Test 149, loss: 1.802722, test acc: 0.166667, test avg acc: 0.166667
Train 150, loss: 1.801042, train acc: 0.163988, train avg acc: 0.163988
Test 150, loss: 1.798278, test acc: 0.166667, test avg acc: 0.166667
Train 151, loss: 1.799461, train acc: 0.165774, train avg acc: 0.165774
Test 151, loss: 1.798720, test acc: 0.166667, test avg acc: 0.166667
Train 152, loss: 1.799539, train acc: 0.167956, train avg acc: 0.167956
Test 152, loss: 1.815080, test acc: 0.166667, test avg acc: 0.166667
Train 153, loss: 1.799663, train acc: 0.166865, train avg acc: 0.166865
Test 153, loss: 1.797559, test acc: 0.166667, test avg acc: 0.166667
Train 154, loss: 1.800143, train acc: 0.164583, train avg acc: 0.164583
Test 154, loss: 1.804954, test acc: 0.166667, test avg acc: 0.166667
Train 155, loss: 1.799593, train acc: 0.172421, train avg acc: 0.172421
Test 155, loss: 1.794646, test acc: 0.166667, test avg acc: 0.166667
Train 156, loss: 1.799162, train acc: 0.163294, train avg acc: 0.163294
Test 156, loss: 1.799215, test acc: 0.166667, test avg acc: 0.166667
Train 157, loss: 1.800020, train acc: 0.167758, train avg acc: 0.167758
Test 157, loss: 1.794037, test acc: 0.166667, test avg acc: 0.166667
